Child_ID,Parent_ID
1,64
1,179
2,66
4,19
4,20
4,59
4,79
10,65
11,15
11,21
11,25
11,62
12,14
12,21
14,24
14,260
16,21
16,248
17,1
19,66
19,68
20,58
20,68
20,526
21,1
21,62
21,69
21,194
22,65
22,329
26,262
26,266
26,323
27,65
27,66
27,117
28,29
28,79
32,2
32,51
32,82
35,68
35,98
36,64
43,10
43,19
46,19
46,47
46,48
46,49
46,106
46,125
47,1
47,19
47,102
47,290
48,58
48,79
49,58
49,358
50,32
50,485
50,541
51,82
53,214
54,1
54,57
54,79
55,362
57,58
57,59
57,79
58,19
58,66
58,69
58,537
59,65
59,400
60,59
60,90
60,117
60,119
61,20
61,528
62,24
62,342
64,2
64,65
64,67
64,68
65,68
65,178
65,329
65,400
65,403
67,65
68,66
69,2
69,70
70,66
70,105
71,69
71,72
72,62
73,157
73,173
73,211
75,10
75,71
78,329
82,19
84,47
84,49
84,106
84,125
88,34
88,47
90,57
90,79
90,145
90,389
91,10
95,1
96,1
96,79
96,90
97,2
97,64
97,65
97,70
97,178
97,322
98,70
98,101
99,47
99,59
99,69
99,100
101,69
101,79
102,19
102,49
102,106
102,113
102,125
102,138
104,363
106,128
110,1
110,48
110,49
110,58
110,59
110,112
111,290
112,58
112,59
113,99
113,114
113,115
113,116
114,59
114,73
115,73
115,290
116,290
118,27
118,59
118,60
118,90
118,119
119,171
119,478
120,65
121,120
122,120
123,49
123,58
123,99
123,106
123,125
125,58
128,58
128,290
128,400
129,64
129,130
129,132
129,352
130,48
130,59
131,48
131,58
131,79
132,59
132,131
133,19
133,47
133,135
134,2
134,59
134,135
134,136
135,48
135,79
135,106
135,125
135,131
136,49
136,79
136,113
136,137
136,138
137,58
137,79
137,99
137,115
137,116
137,128
137,357
139,2
139,59
139,135
139,136
140,59
140,79
140,322
140,334
141,66
143,47
143,49
143,106
143,144
144,66
144,145
145,19
145,79
145,102
145,290
149,49
149,125
149,130
149,132
149,519
150,19
150,47
150,106
152,57
152,59
153,24
153,50
153,53
155,57
155,135
155,176
155,194
156,79
161,250
162,250
163,51
163,79
163,82
163,337
165,1
165,164
165,469
166,1
166,164
166,356
171,79
178,66
179,2
179,64
179,178
180,68
180,179
181,179
182,64
182,65
183,64
183,65
188,47
188,106
188,125
189,25
189,79
189,82
189,261
189,451
194,483
195,199
195,404
199,1
199,177
201,65
201,202
204,104
205,145
205,208
207,145
208,10
208,145
218,1
218,415
218,419
220,382
221,382
221,473
222,262
222,266
222,540
223,59
223,79
223,90
224,476
224,478
224,479
225,100
226,227
227,47
227,64
229,26
229,189
229,262
229,266
229,324
231,2
231,59
231,64
231,126
231,127
231,135
231,313
232,57
232,59
232,64
232,90
232,135
232,145
232,313
232,352
234,227
235,95
235,96
236,96
236,389
241,53
241,98
241,104
241,143
241,242
241,277
246,133
247,21
248,2
248,10
248,24
248,209
248,341
250,24
250,251
251,64
251,403
252,209
255,2
255,362
256,59
256,352
256,521
259,19
259,25
259,79
259,82
259,260
259,261
260,290
262,263
262,264
263,25
263,51
263,82
263,261
264,25
264,78
264,261
265,266
265,267
265,268
265,269
266,19
266,79
266,82
267,261
270,19
270,25
270,263
271,263
271,266
274,10
274,19
274,59
274,286
274,358
274,536
274,537
275,179
276,179
277,117
278,79
278,277
278,508
279,278
280,28
280,79
280,117
280,119
281,57
281,64
281,69
281,145
282,66
282,283
283,282
284,64
284,65
284,68
284,178
284,179
285,65
285,286
286,22
286,65
286,287
286,458
289,290
293,451
293,488
293,544
295,290
297,178
299,55
299,466
302,145
303,302
308,355
311,53
311,62
312,47
312,64
321,47
321,96
322,47
322,95
322,96
323,189
323,324
324,51
324,79
325,163
325,187
327,163
327,259
337,73
337,290
338,47
338,88
338,163
339,290
340,290
347,156
347,533
347,536
352,64
352,65
354,19
354,135
354,164
354,341
354,355
354,516
357,290
358,290
360,58
360,79
360,367
360,483
362,476
362,478
363,362
364,362
366,19
367,133
367,368
368,1
368,49
368,69
368,106
368,130
368,483
372,481
373,308
379,290
387,369
388,363
389,20
389,79
393,415
394,10
394,22
394,58
394,59
394,62
394,438
394,458
406,415
416,415
421,306
422,306
423,306
423,425
424,306
424,425
425,306
426,306
426,422
426,425
427,421
427,422
429,1
429,59
429,79
429,224
430,135
433,79
433,156
433,534
433,536
438,19
438,58
438,59
438,79
438,388
439,372
444,64
444,392
445,64
445,255
449,120
449,444
450,69
457,209
457,355
462,145
466,178
466,467
467,55
468,156
468,532
468,536
472,79
472,117
473,474
474,519
475,194
475,483
475,484
482,194
482,481
485,2
485,82
486,66
486,542
487,156
487,535
487,536
488,290
489,1
489,59
489,79
489,117
489,224
490,519
491,369
493,196
496,290
498,95
499,382
499,520
500,19
500,226
500,234
502,290
505,79
506,428
507,27
507,117
508,117
510,10
512,64
512,320
512,392
513,65
513,285
513,444
513,512
514,286
514,512
515,66
515,282
517,266
517,267
517,268
517,269
518,261
519,58
519,112
520,49
520,106
520,474
521,59
521,64
521,144
523,90
523,171
523,505
526,527
526,528
526,529
526,530
529,532
529,533
529,534
529,535
531,79
531,527
538,19
538,266
538,310
539,51
539,324
540,79
540,537
543,323
543,327
545,79
545,92
546,48
546,163
